name,address,phone_number,website,county,postal_code,first_post
Harry's Traditional Fish and Chips,"Chapman Ln, Masham, Ripon HG4 4EB, UK",01765 689377,,North Yorkshire,HG4 4EB,HG4
Johnny Baghdad's Cafe on the Square,"52 Market Pl, Masham, Ripon HG4 4ED, UK",01765 688809,,North Yorkshire,HG4 4ED,HG4
The Bull Inn,"Church St, West Tanfield, Ripon HG4 5JQ, UK",01677 470678,https://www.thebullwesttanfield.co.uk/,North Yorkshire,HG4 5JQ,HG4
Jakes Plaice,"29 N End, Bedale DL8 1AF, UK",,,North Yorkshire,DL8 1AF,DL8
The Milbank Arms,"Bedale Rd, Well, Bedale DL8 2PX, UK",01677 470411,,North Yorkshire,DL8 2PX,DL8
thomers bar,"86 Nenthead Road, High Burton, Ripon HG4 5TD, UK",,,North Yorkshire,HG4 5TD,HG4
Kings Head Hotel,"Market Pl, Ripon, Masham, Ripon HG4 4EF, UK",01765 689295,https://www.chefandbrewer.com/pubs/north-yorkshire/kings-head/?utm_source=g_places&utm_medium=locations&utm_campaign=CB_pubpage,North Yorkshire,HG4 4EF,HG4
"The Queen's Head, Finghall","W Moor Ln, Finghall, Leyburn DL8 5ND, UK",01677 450259,http://www.queensfinghall.co.uk/,North Yorkshire,DL8 5ND,DL8
The Staveley Arms,"Greenfields, North Stainley, Ripon HG4 3HT, UK",01765 532071,http://thestaveleyarms.co.uk/,North Yorkshire,HG4 3HT,HG4
The New Right Choice Ltd,"21 N End, Bedale DL8 1AF, UK",01677 423787,,North Yorkshire,DL8 1AF,DL8
The Castle Arms Inn,"Snape, Bedale DL8 2TB, UK",01677 470270,http://castlearmsinn.uk/,North Yorkshire,DL8 2TB,DL8
Halls Fish & Chips,"2 S End, Bedale DL8 2BN, UK",01677 422284,,North Yorkshire,DL8 2BN,DL8
