name,place_id,author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated
"The Blue Lion Inn, Pub and Restaurant with Accommodation",ChIJ2wTwi5ccfEgRjqQ9qs6A7mE,Catherine Beddington-Brown,https://www.google.com/maps/contrib/117620826941764967494/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxb9pfwIHAeoPqJ-H8w2jwIFEP-VkXGCxzlZtdlA=s128-c0x00000000-cc-rp-mo,5,2 months ago,"Having known this lovely inn for over 30 years, I was slightly worried that it might have changed under its new management.  I need not have worried! We stayed for the weekend and everything was absolutely first-class. The staff are friendly and welcoming, the room was comfortable, warm and spotless. And the food. What to say about the food?  It's fantastic.  The lovely old bar with the roaring fire - perfect.  We couldn't have had a nicer weekend. Wonderful.",1678050846,False
"The Blue Lion Inn, Pub and Restaurant with Accommodation",ChIJ2wTwi5ccfEgRjqQ9qs6A7mE,Janet Goswell,https://www.google.com/maps/contrib/111234242658438358763/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxbyFuANbXLwG821YQ4Uc3Wlf4259oMd6p_WCtd-=s128-c0x00000000-cc-rp-mo,5,2 months ago,"Just returned from a fabulous night away  at the Blue Lion. First visit since the new owners took over. We were thrilled to find the character had not changed but were given a warm, friendly greeting, clean rooms and then served super food and drinks by friendly staff who were clearly happy in their roles (Recommend the cheese souffle followed.by.the.venison in a suet crust) This was followed in the morning by a hearty breakfast. We cannot wait to return soon",1676822454,False
"The Blue Lion Inn, Pub and Restaurant with Accommodation",ChIJ2wTwi5ccfEgRjqQ9qs6A7mE,Phil Seal,https://www.google.com/maps/contrib/116054287138210280882/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxYRdLPH0iejxnGsnWI4XLm9IWgvn4USnY-hfXYU=s128-c0x00000000-cc-rp-mo,5,4 months ago,I stayed here on Saturday night for 1 night and ate in the restaurant with my family. There was 10 of us total who all stayed the night. We had an excellent evening. The pub is very warm and cosy with a lit fire and traditional décor throughout. The staff were lovely and the food was very good. The menu also was very good as there was 3-4 items I could have easily tried on each course. & everything was cooked perfectly that I ate. The rooms were also very spacious and had good amenities. I would have liked to see a TV in there as well as a hairdryer but tbh I did not need one desperately. We had a very good nights sleep too. The only slight thing to critique was the wifi strength was not brilliant (there was no 4G) but it did work. It is often nice to disconnect for a few hours so this is a very minor thing. Lastly the breakfast included in the room rate was top notch. Great selection and again cooked breakfast was served to perfection. I would stay again in a heartbeat. Thank you for a great stay.,1671441240,False
"The Blue Lion Inn, Pub and Restaurant with Accommodation",ChIJ2wTwi5ccfEgRjqQ9qs6A7mE,Nigel Puttick,https://www.google.com/maps/contrib/115540782981017318588/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxYL-1EGcxpu20hoOXqkkErTP2T9GyPjoEZd9U65=s128-c0x00000000-cc-rp-mo,5,2 months ago,"Under new owners the Blue Lion had not just returned to its former high standards but exceeded them.  The rooms have all been refreshed and the staff are very welcoming.  The food was fabulous - we had sea bass, lamb,  venison and desserts, all superb and with great service.  Thanks for a great stay - we’ll be back again very soon!",1677275788,False
"The Blue Lion Inn, Pub and Restaurant with Accommodation",ChIJ2wTwi5ccfEgRjqQ9qs6A7mE,Sarah Storey,https://www.google.com/maps/contrib/102210072036360647218/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5Q-QhVZsyjvHGnnDoUOk4R6SdkMXw1y8wVVZKLNyg=s128-c0x00000000-cc-rp-mo,5,5 months ago,A beautiful staycation with a warm Yorkshire welcome. The icing on the cake for me was the food was such another level. The green apple 🍏 soufflé needs to be experienced -Totally yummy and adapted due to me being gluten free. Also the pheasant was soo fresh and cooked in a very French way. The rooms were lovely and warm with very comfy beds and are about to part of a refurbishment project in the summer. The rooms were ready  a bit of a tweak.  Lovely lovely foodie stay 🥂🙏,1668720209,False
The Half Moon Inn,ChIJbXIwgRQAfEgRVMMR3zlmckg,Jordan Butler,https://www.google.com/maps/contrib/113500790263136545683/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5QeT7-QIDqv9e9U0JpAyz7N19n99Ceriut-rNQ3=s128-c0x00000000-cc-rp-mo,5,3 weeks ago,"Visiting the area and stopped off for dinner. Very warm welcome front the staff, cosy atmosphere and the food was great quality. Excellent portions. Would highly recommend",1681763504,False
The Half Moon Inn,ChIJbXIwgRQAfEgRVMMR3zlmckg,Phil Henry,https://www.google.com/maps/contrib/101130511898809545889/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxbzlOs2RK7pIqhwd2nBFfaczOHYaDkSbhlKpDL9=s128-c0x00000000-cc-rp-mo-ba4,5,a month ago,"We forgot that it was Mothering Sunday (Mother’s Day) and we couldn’t get in anywhere for lunch. By chance we stopped here and they had a table for two. We had the carvery lunch which included generous portions of roast beef, pork, and turkey with Yorkshire pudding, roast and mashed potatoes, veg, and all the trimmings. The whole thing was made even better with the first pint of Theakston that I’d had in years.  The food was excellent and the landlord and staff very welcoming. What a find!",1679305877,False
The Half Moon Inn,ChIJbXIwgRQAfEgRVMMR3zlmckg,john collins,https://www.google.com/maps/contrib/111001720955343997617/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxYrxM7buMZhi0IEvxNKCImj3fehAMjv8i4M2wgI=s128-c0x00000000-cc-rp-mo,5,a month ago,"The Half Moon family run pub comes highly recommended for the cheerful & friendly atmosphere & excellent food, Carvery Sunday March 12th we needed assistance as our friend passed out (twice) nothing was to much trouble, it was genuinely so kind and they looked after us.John&Chris & most importantly Linda who is now fully recovered would like to say a very big thank you to Colin & Tracy & members of staff & we will .see you again soon,,",1679071840,False
The Half Moon Inn,ChIJbXIwgRQAfEgRVMMR3zlmckg,Steve Raynes,https://www.google.com/maps/contrib/107450607831061129112/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZgOUY7IubUjtIedqDFnEMcA2o4psy4hu1gN_eF=s128-c0x00000000-cc-rp-mo-ba4,5,in the last week,Lovely carvery in a really nice place. Service excellent and very good price,1683651378,False
The Half Moon Inn,ChIJbXIwgRQAfEgRVMMR3zlmckg,Nayvee,https://www.google.com/maps/contrib/111475463753072299772/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5T7aNfg6Z0Cxvt7eqgg8By9jSxaeB6nH0eYD3ZncA=s128-c0x00000000-cc-rp-mo-ba4,4,7 months ago,"Staying locally we thought we would try the Half Moon Inn as recommended.. My pie was exceptional , meaty and full of flavour, gravy one of the nicest I've had in a pie , chips were flavoursome and veg cooked well. Service was great , friendly,  speedy and professional , faultless.. The reason it's a 4 not a 5 is because I don't think a dog should be allowed in the eating area especially one that begs for food and if ignored sits there tapping your leg. Is a lovely old dog and I love dogs , have my own but do have areas dogs shouldn't be. Thank you....",1664306189,False
Restaurant at The Sportsman's Arms,ChIJcb0B67sAfEgRpvvChkCrLIA,Mehl,https://www.google.com/maps/contrib/105998046227686480674/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5T3QgZ42--0B5qw4KYS6Oa-c3UeUgfdcfiiiqmc6A=s128-c0x00000000-cc-rp-mo,4,8 months ago,"If you like snazzy this place is for you, or at least one of their rooms is for you. The outside and the entrance seating didn’t give the posh vibe at all. We reserved a table but we weren’t given the choice where to sit which is fine but to me it makes a big difference. I didn’t know enough about the place, I though it was just a typical pub that served food. The waiters even took it very seriously, I felt like I was in Paris or something. Anyway I can’t really fault them on that that’s just my preference, this place would definitely float many peoples boats. The food portion size were okay… but the prices are definitely up there. I had a three course and by the end I was full and happy, which I guess you should expect. I think this place would suit many people especially if you’re thinking of a special meal with a special person 🙂",1661713616,False
Restaurant at The Sportsman's Arms,ChIJcb0B67sAfEgRpvvChkCrLIA,Somewhere Sunday,https://www.google.com/maps/contrib/112430803693301854272/reviews,en,en,https://lh3.googleusercontent.com/a-/ACB-R5TDGA4tu0uFkF9dhbnfl7nhzrrCm_WmYi7VMcfBlw=s128-c0x00000000-cc-rp-mo-ba5,4,a year ago,"Fantastic food and a stunning location. Building is also very pretty and well maintained. Service started a bit iffy, I wanted to sit outside and there was only one other table occupied, I was very abruptly told I needed a table number, like I had just committed the greatest sin of the 21st century. After resolving my crime of the century my food was delivered to the table, a nice beef sandwich and chips.....no asking if I would like any sauces for my chips or anything like that, you get what you're given. Can't tell if this is because I wasn't a local or if it's because I'm a biker and it's an upmarket establishment.....which is funny because my Harley was worth more than 90% of the cars in the car park.....but I digress. When I went back in for a second drink, service picked up, I was asked if I enjoyed my meal and staff were friendlier this time. I try not to hold grudges hence the 4 star rating but while I'm not local, this was my 4th visit in two weeks and only this time did I have issues, maybe they don't like bikers here or I just caught them on a bad day?",1651562689,False
Restaurant at The Sportsman's Arms,ChIJcb0B67sAfEgRpvvChkCrLIA,W F,https://www.google.com/maps/contrib/107571914158646515150/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZgqzV8d4MvJaAqTyAd24YtAfaTv46XS1v_HEXe=s128-c0x00000000-cc-rp-mo,5,2 months ago,Excellent pub / restaurant Are there on consecutive days. Good selection of beer and other drinks at the bar. Food was excellent- my favourite was the venison. The photo is the lamb A bit more expensive than your normal pub Excellent staff - very friendly and helpful,1677674373,False
Restaurant at The Sportsman's Arms,ChIJcb0B67sAfEgRpvvChkCrLIA,Carol Kras,https://www.google.com/maps/contrib/105659987984066757897/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxYCzhH7f5tLiDOp52QJXlDAg8PmB3QioqRXp5M=s128-c0x00000000-cc-rp-mo,5,a year ago,"B and B and everything meal treat from our Son and partner for our 31st wedding anniversary x.  Everything has been beautiful, what a fabulous place that we would love to visit again.  Thank you for making everything special.  Buddy loved it too xx",1634371676,False
Restaurant at The Sportsman's Arms,ChIJcb0B67sAfEgRpvvChkCrLIA,Charlie,https://www.google.com/maps/contrib/115077081036157162294/reviews,en,en,https://lh3.googleusercontent.com/a/AGNmyxZVylplCppE_BVPB4FBEsDwu4h4dbu_MKIIDCuv=s128-c0x00000000-cc-rp-mo-ba3,5,7 months ago,"This is a great place to eat, friendly staff, good food, and even an open fire. Food was well presented, perfectly cooked and in sensible quantities. Lots of local options as well; beers, fish and game. Highly recommended if you are nearby, though the road to get there is a bit tight in places.",1664654779,False
